Transaction_Amount,Timestamp,Customer_ID,Location,Fraud
1200,2026-08-01 09:15:00,C001,Hyderabad,0
500,2026-08-01 10:20:00,C002,Delhi,0
2500,2026-08-01 11:10:00,C001,Hyderabad,0
800,2026-08-01 12:30:00,C003,Mumbai,0
15000,2026-08-01 13:05:00,C001,Bangalore,1
700,2026-08-01 14:20:00,C004,Hyderabad,0
950,2026-08-01 15:10:00,C002,Delhi,0
18000,2026-08-01 16:45:00,C002,Mumbai,1
1100,2026-08-01 17:20:00,C003,Mumbai,0
600,2026-08-01 18:15:00,C004,Hyderabad,0
22000,2026-08-02 09:05:00,C003,Delhi,1
900,2026-08-02 10:15:00,C001,Bangalore,0
1300,2026-08-02 11:20:00,C002,Delhi,0
750,2026-08-02 12:10:00,C004,Hyderabad,0
16000,2026-08-02 13:40:00,C004,Mumbai,1
1000,2026-08-02 14:25:00,C003,Mumbai,0
1400,2026-08-02 15:30:00,C001,Bangalore,0
450,2026-08-02 16:15:00,C002,Delhi,0
19000,2026-08-02 17:50:00,C001,Chennai,1
850,2026-08-02 18:40:00,C004,Hyderabad,0
1250,2026-08-03 09:10:00,C002,Delhi,0
600,2026-08-03 10:20:00,C003,Mumbai,0
17000,2026-08-03 11:35:00,C002,Bangalore,1
950,2026-08-03 12:45:00,C001,Bangalore,0
720,2026-08-03 13:20:00,C004,Hyderabad,0
21000,2026-08-03 14:55:00,C003,Chennai,1
1150,2026-08-03 15:30:00,C001,Bangalore,0
680,2026-08-03 16:20:00,C002,Delhi,0
13500,2026-08-03 17:40:00,C004,Mumbai,1
500,2026-08-03 18:30:00,C003,Mumbai,0
